layer1;kernel1;maxpooling1;layer2;kernel2;maxpooling2;layer3;act;optim;n_batch;best_val_acc
32;3;True;64;3;True;1024;swish;sgd;128;0.5105999708175659
64;5;True;64;3;False;2048;swish;rmsprop;256;0.6671000123023987
16;5;True;128;5;True;1024;leakyrelu;adam;256;0.7026000022888184
64;5;False;32;3;False;2048;relu;adam;128;0.6144999861717224
64;3;False;64;5;False;2048;relu;rmsprop;256;0.671999990940094
16;5;True;64;5;True;512;swish;sgd;256;0.4772999882698059
32;3;True;64;3;True;512;leakyrelu;rmsprop;64;0.7038000226020813
16;3;False;128;5;False;2048;relu;sgd;128;0.6297000050544739
32;5;False;128;3;True;1024;leakyrelu;rmsprop;256;0.6585999727249146
64;3;False;32;3;False;1024;swish;adam;64;0.5095999836921692
64;5;True;128;5;True;1024;relu;adam;256;0.717199981212616
32;3;True;128;3;True;1024;swish;adam;64;0.6960999965667725
32;3;False;32;5;False;2048;leakyrelu;adam;256;0.6345999836921692
16;3;False;128;5;True;2048;relu;rmsprop;128;0.7174000144004822
64;5;False;64;3;False;1024;swish;adam;64;0.5145000219345093
16;5;False;64;3;True;512;swish;adam;128;0.6830999851226807
16;5;False;32;5;False;1024;relu;adam;128;0.6389999985694885
64;3;True;32;3;False;1024;relu;rmsprop;64;0.6947000026702881
32;5;False;64;3;True;2048;swish;rmsprop;64;0.6669999957084656
32;3;True;128;5;True;1024;swish;adam;256;0.6635000109672546
16;3;True;128;5;True;2048;relu;rmsprop;128;0.7102000117301941
16;5;True;128;5;True;512;relu;sgd;128;0.6581000089645386
64;5;False;128;5;True;2048;relu;rmsprop;128;0.6812999844551086
16;3;True;128;5;True;2048;relu;rmsprop;256;0.7095999717712402
64;3;False;128;5;True;2048;relu;rmsprop;128;0.7161999940872192
16;5;True;128;5;True;512;relu;adam;256;0.7088000178337097
64;3;True;128;5;True;1024;relu;sgd;256;0.48559999465942383
16;5;False;128;5;True;2048;relu;adam;128;0.6983000040054321
64;3;True;128;5;True;1024;relu;sgd;128;0.642799973487854
64;5;False;128;5;True;1024;leakyrelu;rmsprop;256;0.6449999809265137
16;3;True;128;5;True;2048;relu;rmsprop;128;0.7131999731063843
64;5;True;128;5;True;1024;relu;adam;256;0.7145000100135803
16;5;False;32;5;True;512;leakyrelu;sgd;128;0.6337000131607056
64;3;True;128;5;True;2048;relu;rmsprop;256;0.7192999720573425
16;3;False;128;5;True;2048;relu;rmsprop;256;0.7200999855995178
64;3;True;64;5;True;2048;relu;rmsprop;256;0.7168999910354614
16;3;False;128;5;True;2048;leakyrelu;rmsprop;256;0.6797999739646912
64;3;True;32;5;False;2048;relu;rmsprop;256;0.6944000124931335
32;3;False;128;5;True;2048;relu;rmsprop;256;0.72079998254776
32;3;False;64;5;False;2048;leakyrelu;rmsprop;256;0.6093000173568726
